Type	FSWP-26
Version	3.01
Date	17.Jun 2025
VSupply	ON
Mode	Voltage
1.7089632750	-88.6594390869
1.7148818970	-88.7055969238
1.7208211422	-88.7178497314
1.7267808914	-88.7161178589
1.7327612638	-88.7129287720
1.7387623787	-88.6766586304
1.7447843552	-88.6403808594
1.7508270741	-88.5964736938
1.7568907738	-88.5411529541
1.7629753351	-88.4858322144
1.7690811157	-88.4266891479
1.7752079964	-88.3664855957
1.7813560963	-88.3078079224
1.7875255346	-88.2556610107
1.7937163115	-88.2035064697
1.7999285460	-88.1633758545
1.8061622381	-88.1306686401
1.8124175072	-88.1001892090
1.8186944723	-88.0995330811
1.8249932528	-88.0988769531
1.8313137293	-88.1250457764
1.8376561403	-88.1737594604
1.8440206051	-88.2251129150
1.8504070044	-88.3409271240
1.8568155766	-88.4567489624
1.8632462025	-88.6119613647
1.8696992397	-88.7985610962
1.8761746883	-88.9891967773
1.8826724291	-89.2182922363
1.8891928196	-89.4473953247
1.8957357407	-89.6600265503
1.9023011923	-89.8639373779
1.9088895321	-90.0430526733
1.9155006409	-90.1408004761
1.9221346378	-90.2385482788
1.9287915230	-90.2193069458
1.9354715347	-90.1766510010
1.9421746731	-90.0886230469
1.9489010572	-89.9457244873
1.9556506872	-89.8003387451
1.9624238014	-89.6303634644
1.9692202806	-89.4603958130
1.9760403633	-89.3147964478
1.9828839302	-89.1773529053
1.9897513390	-89.0678710938
1.9966424704	-88.9960403442
2.0035574436	-88.9332962036
2.0104963779	-88.9362792969
2.0174593925	-88.9392623901
2.0244464874	-88.9944305420
2.0314579010	-89.0599136353
2.0384933949	-89.1437759399
2.0455532074	-89.2417068481
2.0526378155	-89.3387756348
2.0597467422	-89.4339370728
2.0668802261	-89.5271530151
2.0740385056	-89.5985031128
2.0812215805	-89.6698532104
2.0884294510	-89.7240982056
2.0956623554	-89.7756958008
2.1029202938	-89.8290176392
2.1102032661	-89.8831939697
2.1175117493	-89.9511642456
2.1248455048	-90.0338668823
2.1322045326	-90.1313095093
2.1395888329	-90.2605972290
2.1469991207	-90.3980102539
2.1544346809	-90.5762634277
2.1618962288	-90.7554931641
2.1693835258	-90.9644927979
2.1768968105	-91.1735000610
2.1844360828	-91.3773422241
2.1920015812	-91.5806884766
2.1995930672	-91.7458877563
2.2072110176	-91.9020690918
2.2148551941	-92.0020751953
2.2225260735	-92.0802841187
2.2302234173	-92.0989761353
2.2379472256	-92.0852050781
2.2456979752	-92.0187225342
2.2534756660	-91.9153594971
2.2612800598	-91.7750854492
2.2691116333	-91.6038970947
2.2769701481	-91.4178466797
